run_id,seq_idx,wtime,pss_kb,label,anomaly_type,recon_error,pred,flag_type
anomaly_mem_spike,68,154.0,1173055.0,1,mem_spike,108.421142578125,1,TP
anomaly_mem_spike,69,156.0,1173055.0,1,mem_spike,108.42131805419922,1,TP
anomaly_mem_spike,70,158.0,1173055.0,1,mem_spike,108.42147827148438,1,TP
anomaly_mem_spike,71,160.0,1173055.0,1,mem_spike,108.42167663574219,1,TP
anomaly_mem_spike,72,162.0,1173055.0,1,mem_spike,108.4218521118164,1,TP
anomaly_mem_spike,73,164.0,1173055.0,1,mem_spike,108.42201232910156,1,TP
anomaly_mem_spike,74,166.0,1173055.0,1,mem_spike,108.42215728759766,1,TP
anomaly_mem_spike,75,168.0,1173055.0,1,mem_spike,108.42232513427734,1,TP
anomaly_mem_spike,76,170.0,1173055.0,1,mem_spike,108.42243957519531,1,TP
anomaly_mem_spike,77,172.0,1173055.0,1,mem_spike,108.4225845336914,1,TP
anomaly_mem_spike,78,174.0,1173055.0,1,mem_spike,108.42272186279297,1,TP
anomaly_mem_spike,79,176.0,1173051.0,1,mem_spike,108.4228286743164,1,TP
anomaly_mem_spike,80,178.0,1173050.0,1,mem_spike,108.42291259765625,1,TP
